dynamic_metric,image_motion_qc_feature,image_motion_qc_sensitivity_flag,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_rho
cross_network_communication,image_dvars_max_mean_abs,False,30,0.1946884903016498,0.7371049702932915,0.24353285494213794,0.18546010138233066,0.24849833147942155
effective_barrier_proxy,image_dvars_max_mean_abs,False,30,0.9640590778820488,0.9845709731561348,0.008591833534279898,0.8417883461430662,0.038046501514771514
entropy_diversity,image_dvars_max_mean_abs,False,30,0.021661634493062118,0.19495471043755908,-0.4176168377497138,0.04875850889875158,-0.36284760845383757
hierarchical_compression,image_dvars_max_mean_abs,False,30,0.8772821423275272,0.9610425648407773,0.02943704738606203,0.9228476207693762,0.01846496106785317
metastability_proxy,image_dvars_max_mean_abs,False,30,0.7166024158129518,0.9411454421443864,-0.06913322879064712,0.9506909245170637,0.011790878754171301
switching_rate,image_dvars_max_mean_abs,False,30,0.7461436246487525,0.9411454421443864,-0.061668566361311836,0.7566864657083522,-0.05902666195773442
thalamic_coupling,image_dvars_max_mean_abs,False,30,0.3395406969342005,0.8148976726420812,0.18060630694068186,0.3522793351773135,0.17597330367074526
within_network_stability,image_dvars_max_mean_abs,False,30,0.01177253146746618,0.13493986261801832,0.4538109545052781,0.029195126778298348,0.3984427141268076
cross_network_communication,image_dvars_mean_delta_lsd_minus_placebo,False,30,0.713187183198212,0.9411454421443864,0.07000252687873776,0.5279386219751127,0.11991101223581756
effective_barrier_proxy,image_dvars_mean_delta_lsd_minus_placebo,False,30,0.6227036692921668,0.9411454421443864,-0.093610519617355,0.5050031735472319,-0.12659917755499994
entropy_diversity,image_dvars_mean_delta_lsd_minus_placebo,False,30,0.07758638664118857,0.4820694842168531,0.32718610430788225,0.15418993850617563,0.2667408231368187
hierarchical_compression,image_dvars_mean_delta_lsd_minus_placebo,False,30,0.538499742740039,0.9122819171125366,0.1168787269874998,0.7024388474244606,0.07274749721913237
metastability_proxy,image_dvars_mean_delta_lsd_minus_placebo,False,30,0.6469181886593238,0.9411454421443864,0.08717225731399753,0.7286658674295455,0.06607341490545049
switching_rate,image_dvars_mean_delta_lsd_minus_placebo,False,30,0.6634827417001177,0.9411454421443864,0.08282233581857179,0.5328447344735281,0.1184988081566593
thalamic_coupling,image_dvars_mean_delta_lsd_minus_placebo,False,30,0.7270972782104594,0.9411454421443864,-0.06647034853783153,0.7909951119419784,-0.05050055617352613
within_network_stability,image_dvars_mean_delta_lsd_minus_placebo,False,30,0.45297886915345065,0.8814723940283363,0.14236334447260054,0.3083021583840027,0.19243604004449388
cross_network_communication,image_dvars_mean_mean_abs,False,30,0.5287734170155157,0.9073906686781444,0.11967027625163865,0.6526939314208455,0.08565072302558399
effective_barrier_proxy,image_dvars_mean_mean_abs,False,30,0.4746738487715568,0.9073906686781444,0.13568122020584691,0.5027417816146634,0.12726666003771525
entropy_diversity,image_dvars_mean_mean_abs,False,30,0.006941980460383862,0.11612697616803207,-0.48238033508860506,0.022778026055764008,-0.41446051167964404
